Title,Life insurance offices; Cash and deposits,Life insurance offices; Loans and placements,Life insurance offices; Short-term securities,Life insurance offices; Long-term securities; Government; Australian,Life insurance offices; Long-term securities; Government; State and local,Life insurance offices; Long-term securities; Other,Life insurance offices; Equities and units in trusts,Life insurance offices; Land and buildings,Life insurance offices; Other assets,Life insurance offices; Assets overseas,Life insurance offices; Total assets
Series ID,BLISFCAD,BLISFLAP,BLISFSTS,BLISFLTGA,BLISFLTGSL,BLISFLTO,BLISFEUT,BLISFLAB,BLISFOA,BLISFAO,BLISFTA
Jun-69,,1340,,1163,387,,729,547,,,
Sep-69,,1406,,1199,426,,772,593,,,4952
Dec-69,,1431,,1213,444,,803,630,,,5091
Mar-70,,1450,,1222,452,,835,649,,,5205
Jun-70,,1467,,1243,463,,862,695,,,5344
Sep-70,,1479,,1284,480,,896,723,,,5491
Dec-70,,1503,,1316,500,,928,759,,,5629
Mar-71,,1513,,1341,514,,942,819,,,5745
Jun-71,,1533,,1382,532,,972,869,,,5913
Sep-71,,1550,,1425,548,,997,914,,,6067
Dec-71,,1582,,1472,578,,1033,965,,,6267
Mar-72,,1574,,1500,595,,1070,1007,,,6391
Jun-72,,1583,,1537,602,,1094,1059,,,6556
Sep-72,,1576,,1603,620,,1142,1126,,,6761
Dec-72,,1575,,1672,674,,1212,1193,,,7025
Mar-73,,1559,,1705,656,,1281,1246,,,7188
Jun-73,,1560,,1719,667,,1329,1316,,,7387
Sep-73,,1568,,1771,665,,1378,1377,,,7565
Dec-73,,1580,,1803,677,,1384,1462,,,7725
Mar-74,,1579,,1879,670,,1417,1494,,,7872
Jun-74,,1628,,1848,722,,1462,1562,,,8075
Sep-74,,1665,,1874,734,,1470,1627,,,8221
Dec-74,,1701,,1904,761,,1451,1684,,,8367
Mar-75,,1697,,1914,799,,1440,1727,,,8492
Jun-75,,1697,,1947,808,,1469,1818,,,8687
Sep-75,,1663,,2025,790,,1486,1921,,,8856
Dec-75,,1666,,2064,802,,1551,2004,,,9027
Mar-76,,1651,,2108,848,,1605,2045,,,9252
Jun-76,,1652,,2108,861,,1666,2115,,,9460
Sep-76,,1644,,2183,853,,1720,2196,,,9625
Dec-76,,1647,,2284,874,,1782,2300,,,9880
Mar-77,,1653,,2277,899,,1826,2337,,,10031
Jun-77,,1662,,2328,909,,1866,2365,,,10238
Sep-77,,1662,,2417,954,,1897,2427,,,10448
Dec-77,,1675,,2508,996,,1978,2573,,,10798
Mar-78,,1692,,2505,1044,,2053,2643,,,11063
Jun-78,,1688,,2561,1061,,2096,2709,,,11280
Sep-78,,1676,,2643,1079,,2188,2768,,,11514
Dec-78,,1672,,2707,1121,,2271,2862,,,11787
Mar-79,,1668,,2703,1161,,2326,2893,,,12038
Jun-79,,1656,,2735,1177,,2364,2961,,,12329
Sep-79,,1635,,2841,1188,,2458,3042,,,12487
Dec-79,,1668,,2887,1199,,2692,3164,,,12923
Mar-80,,1700,,2824,1226,,2847,3209,,,13218
Jun-80,,1720,,2873,1264,,2997,3267,,,13652
Sep-80,,1720,,2961,1275,,3160,3359,,,14026
Dec-80,,1769,,3097,1343,,3457,3570,,,14639
Mar-81,,1807,,3075,1374,,3506,3621,,,15010
Jun-81,,1820,,3125,1433,,3711,3730,,,15458
Sep-81,,1851,,3214,1485,,3791,3797,,,15870
Dec-81,,1903,,3421,1484,,3703,4004,,,16272
Mar-82,,1964,,3356,1470,,3832,4051,,,16567
Jun-82,,2093,,3362,1552,,3945,4117,,,17127
Sep-82,,2117,,3397,1617,,4019,4231,,,17281
Dec-82,,2055,,3991,1622,,4263,4310,,,17932
Mar-83,,2129,,3908,1698,,4437,4559,,,18455
Jun-83,,2227,,4030,1813,,4720,4618,,,19183
Sep-83,,2154,,4294,1693,,5098,4935,,,19760
Dec-83,,2189,,4736,1705,,5727,4863,,,20793
Mar-84,,2179,,4786,1727,,5936,5042,,,21509
Jun-84,,2241,,5208,1867,,6053,4966,,,22528
Sep-84,,2498,,5295,2045,,6266,5025,,,23349
Dec-84,,2582,,5734,2134,,6522,4997,,,24127
Mar-85,,2454,,5870,2119,,6788,5359,,,25112
Jun-85,,2901,,4930,2293,,7169,5440,,,25987
Sep-85,,2851,,4777,2477,,7723,5512,,,26836
Dec-85,,2603,,4841,2685,,9318,5818,,,28620
Mar-86,,2843,,4283,3056,,10430,5871,,,30056
Jun-86,,3030,,3447,3312,,12155,6043,,,32114
Sep-86,,3707,,3087,3625,,12624,6000,,,33595
Dec-86,,3841,,3180,3700,,16592,7440,,,40189
Mar-87,,4286,,3086,3677,,18531,7756,,,43074
Jun-87,,5083,,2915,4126,,19778,7872,,,46256
Sep-87,,3357,,3340,4967,,24008,7925,,,51111
Dec-87,,5047,,2834,4936,,18363,8469,,,48280
Mar-88,,5571,,2662,5065,,17933,9188,,,50639
Jun-88,1619,6421,3915,3562,7779,1472,18341,9474,2078,3884,58544
Sep-88,1773,5413,4044,3765,8222,1556,20101,9881,2094,4027,60875
Dec-88,2270,6308,3748,3950,8625,1632,20906,10644,2158,4328,64569
Mar-89,2270,7020,4456,3845,8396,1588,20710,12604,2438,4810,68136
Jun-89,2472,8342,5815,4014,7745,1433,21885,12840,2952,5345,72844
Sep-89,2450,7103,5648,4163,8288,1717,23034,13219,4059,6276,75958
Dec-89,2200,9331,5015,4448,8360,1334,24320,13797,3534,8266,80605
Mar-90,2495,9902,5144,4264,9064,1553,23348,14024,3934,8334,82062
Jun-90,2680,10701,5347,3584,10681,2039,24415,13397,4178,8401,85422
Sep-90,3305,8580,5812,4439,10958,2417,24139,14451,4781,7498,86380
Dec-90,2989,9715,5461,5818,9075,3013,21953,13729,4158,7828,83739
Mar-91,3581,8613,5332,6010,10946,2192,23234,14125,4717,8564,87315
Jun-91,3700,8714,5914,5152,12907,2719,25292,13733,4475,10176,92780
Sep-91,3757,8577,6727,5790,13396,2559,26242,13093,4218,10505,94863
Dec-91,3564,8584,7325,5482,13287,4238,28103,11891,4716,12223,99413
Mar-92,3655,8557,6320,5341,13701,4110,27296,11787,5260,12162,98188
Jun-92,4186,6639,10327,3994,14492,3763,31204,11823,4007,12774,103208
Sep-92,3862,6746,9332,5877,12364,3817,29843,10987,4162,13958,100948
Dec-92,4046,6051,9573,5987,12953,3619,29913,10446,3909,14389,100886
Mar-93,3762,6271,9170,6828,14914,3983,30724,10375,4182,15050,105259
Jun-93,4377,6599,10415,6711,14676,3818,31073,9753,3853,16716,107991
Sep-93,3989,6297,9942,9355,14837,3760,34718,9434,3516,18447,114297
Dec-93,4015,5819,9964,9078,15330,3992,38241,8967,3593,19784,118781
Mar-94,3980,5431,9090,9528,14893,3974,37477,8457,3819,18807,115456
Jun-94,5059,5329,9826,9562,14207,4088,37048,9121,3524,16974,114739
Sep-94,5245,5532,10175,10035,13363,4369,37657,9195,3712,16545,115830
Dec-94,4814,6180,11028,9370,13435,3920,36801,9374,3221,15439,113581
Mar-95,5199,5622,9868,9800,13649,3943,36537,9669,3809,16466,114562
Jun-95,4912,5817,9927,9872,13907,4925,38076,9486,4396,17214,118532
Sep-95,5371,6531,11485,10011,13909,4852,40023,8892,4540,15907,121521
Dec-95,5446,6673,12212,10229,14005,5057,41588,8743,3874,16355,124183
Mar-96,5219,6652,12943,11341,12775,5043,41214,8998,5245,16388,125818
Jun-96,5979,6460,14408,11563,12579,5107,41947,8843,4745,15579,127209
Sep-96,6219,6865,14531,12786,12388,5160,42862,8853,4950,16834,131448
Dec-96,6704,6400,16212,12998,12086,5239,45359,8081,3926,17488,134491
Mar-97,8182,6987,16491,12430,12243,5131,45730,7888,4522,18309,137913
Jun-97,6918,6920,16262,13423,12263,6276,50728,7182,5127,20452,145551
Sep-97,6320,7043,15912,13839,12757,7558,51359,7232,5606,22280,149906
Dec-97,5431,7706,18048,11828,13250,7601,52339,6247,6239,23519,152208
Mar-98,7035,8102,14875,11998,12834,7083,57580,7538,7456,23823,158324
Jun-98,5914,8096,14799,12606,12802,7107,58834,6621,7121,26940,160840
Sep-98,5870,8565,15570,13620,14362,7055,58651,6754,6544,25366,162357
